KEY,English,Russian
dlgTCHolyStatue,Oh {PlayerName}. I see you have the holy statue of our people. Do you want to give it to me?,"О {PlayerName}. Я вижу, у вас есть священная статуя нашего народа. Ты хочешь отдать ее мне?"
dlgTCBadRepu,You need a friendly reputation or better to the Talon then I will talk to you.,"Вам нужна дружеская репутация или выше для Талон, только тогда я поговорю с тобой."
dlgTCTellMeStory,Tell me the story about your people,Расскажи мне историю о своих людях
dlgTCGreetings,Greetings {PlayerName}. What do you want from me?,"Приветствую, {PlayerName}. Что ты от меня хочешь?"
txt_mWeCe,Welcome {PlayerName} to a round of cards!,Добро пожаловать {PlayerName} в карточный раунд!
txt_UGmuO,Card Dealer,Дилер карт
txt_mq8OK,We will play for <color=#fddc1e>Gold Coins</color>.\nHow many <color=#fddc1e>Gold Coins</color> do you want to bet?,Мы будем играть на <color=#fddc1e>Золотые монеты</color>.\nСколько  <color=#fddc1e>Золотых монет</color> вы хотите поставить?
txt_4WUCq,1 <color=#fddc1e>Gold Coin</color>,1 <color=#fddc1e>Золотую монету</color>
txt_Zi4Gm,10 <color=#fddc1e>Gold Coins</color>,10 <color=#fddc1e>Золотых монет</color>
txt_BxmOu,100 <color=#fddc1e>Gold Coins</color>,100 <color=#fddc1e>Золотых монет</color>
txt_8cmWW,It seems you don't have enough <color=#fddc1e>Gold Coins</color>...get some and come back. Bye,"Похоже, вам не хватает <color=#fddc1e>Золотых монет</color>...раздобудьте немного и возвращайтесь. Пока."
txt_S0uKE,You bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color> and I will also bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color>. \n\nYour first card is <color=#019245><b>{PlayerCards}</b></color>.,Вы ставите {GoldCoinsPlayerBet} <color=#fddc1e>Золотых монет</color> и я также ставлю {GoldCoinsPlayerBet} <color=#fddc1e>Золотых монет</color>. \n\nВаша первая карта <color=#019245><b>{PlayerCards}</b></color>.
txt_aqCI0,Do you want another card?,Вы хотите еще карту?
txt_GiiaK,Yes,Да
txt_8OGas,No,Нет
txt_GaeK3,Your next card is <color=#019245><b>{NextCard}</b></color>. \nNow you have <color=#fd9b00><b>{PlayerCards}</b></color> in total!,Ваша следующая карта <color=#019245><b>{NextCard}</b></color>. \nВы набрали <color=#fd9b00><b>{PlayerCards}</b></color> всего!
txt_G0Fqm,<color=#cf0707>You lost!</color>,<color=#cf0707>Вы проиграли!</color>
txt_O4W4q,My first card is a <color=#019494>{DealerCards}</color>,Моя первая карта <color=#019494>{DealerCards}</color>
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,Моя следующая карта <color=#019494>{DealerNewCard}</color>.   Я набрал <color=#019494><b>{DealerCards}!</b></color>
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} Gold Coins</color>!,<color=#019245><b>Вы выиграли! </b></color>Заберите ваши <color=#fddc1e>{2*GoldCoinsPlayerBet} Золотых монет</color>!
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost!</color>,У вас <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Вы проиграли!</color>
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color>  games in this session so far.\nDo you want to play again?,Вы <color=#019245>выйграли {TotalGamesWon}</color> и <color=#cf0707>проиграли {TotalGamesLost}</color> <color=#cf0707></color>игр в этом игровом сеансе.\nХотите играть еще?
txt_vmOu4,Yes,Да
txt_8Oiie,No,Нет
txt_O8CaF,Come back soon! Bye.,Возвращайся скорее! До свидания.
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to Number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.","Сначала я раздаю карты вам, потом себе. Тот, кто ближе всех к числу 21, побеждает. Карта, которую я раздаю, имеет номер от 1 до 11. После каждой карты у вас есть возможность остановиться.\nЕсли вы выиграете, вы получите мою ставку в дополнение к вашей."
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>","Хорошо, спасибо, я понял <i><color=#ffffff>(Вернуться)</color></i>"
txt_80qd8,"Wait, how does it work?","Подождите, как это работает?"
txt_O4ame,You lost 20 times on my table by now. Come back later and think about getting a real job maybe.,Вы проиграли 20 раз за моим столом. Возвращайтесь позже и подумайте о поиске настоящей работы.
txt_KaO0m,It's you again! Our Management ordered me to refuse playing with you. Come back later.,Это снова ты! Наше руководство приказало мне отказаться от игры с вами. Возвращайтесь позже.
txt_eeUSG,Can you tell me my Statistics first?,Можете ли вы сначала рассказать мне мою статистику?
txt_WKaie,On my table you played <color=#ffffff>{GamesPlayed}</color> times.\n\nYou <color=#019245>won {TableGamesWon}</color> times.\nYou <color=#cf0707>lost {TableGamesLost}</color> times.\n\nYou <color=#019245>won {TableCoinsWon}</color> <color=#fddc1e>Gold Coins</color>.\nYou <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>Gold Coins</color>.,На моем столе вы играли <color=#ffffff>{GamesPlayed}</color> раз.\n\nВы <color=#019245>выйграли {TableGamesWon}</color> раз.\nВы <color=#cf0707>проиграли {TableGamesLost}</color> раз.\n\nВы <color=#019245>выйграли {TableCoinsWon}</color> <color=#fddc1e>Золотых монет</color>.\nВы <color=#cf0707>проиграли {TableCoinsLost}</color> <color=#fddc1e>Золотых монет</color>.
txt_aCMq8,Alright then... <i><color=#ffffff>(Back)</color></i>,"Хорошо, тогда... <i><color=#ffffff>(Вернуться)</color></i>"
dialogue_G8GSe,Station Service Console,Консоль обслуживания станции
dialogue_02Giu,U..cde..ksss..damaged. You nee..legitimate ID!,U..cde..ksss..поврежден. Вам нуж.. легальный ИД!
